date,hour,time_local,month,weekday,season,usage,prcp,tmax,tmin,year
2020-06-17,5,05:00:00,June,Wednesday,Summer,0.08,0,73,48,2020
2020-06-17,6,06:00:00,June,Wednesday,Summer,0.09,0,73,48,2020
2020-06-17,7,07:00:00,June,Wednesday,Summer,0.42,0,73,48,2020
2020-06-17,8,08:00:00,June,Wednesday,Summer,0.72,0,73,48,2020
2020-06-17,9,09:00:00,June,Wednesday,Summer,0.78,0,73,48,2020
2020-06-17,10,10:00:00,June,Wednesday,Summer,1.1300000000000001,0,73,48,2020
2020-06-17,11,11:00:00,June,Wednesday,Summer,0.91,0,73,48,2020
2020-06-17,12,12:00:00,June,Wednesday,Summer,0.6,0,73,48,2020
2020-06-17,13,13:00:00,June,Wednesday,Summer,0.9,0,73,48,2020
2020-06-17,14,14:00:00,June,Wednesday,Summer,0.52,0,73,48,2020
2020-06-17,15,15:00:00,June,Wednesday,Summer,2.05,0,73,48,2020
2020-06-17,16,16:00:00,June,Wednesday,Summer,3.58,0,73,48,2020
2020-06-17,17,17:00:00,June,Wednesday,Summer,0.29000000000000004,0,73,48,2020
2020-06-17,18,18:00:00,June,Wednesday,Summer,0.1,0,73,48,2020
2020-06-17,19,19:00:00,June,Wednesday,Summer,1.05,0,73,48,2020
2020-06-17,20,20:00:00,June,Wednesday,Summer,2.12,0,73,48,2020
2020-06-17,21,21:00:00,June,Wednesday,Summer,0.9700000000000001,0,73,48,2020
2020-06-17,22,22:00:00,June,Wednesday,Summer,2.74,0,73,48,2020
2020-06-17,23,23:00:00,June,Wednesday,Summer,2.46,0,73,48,2020
2020-06-18,0,00:00:00,June,Thursday,Summer,0.54,0,74,52,2020
2020-06-18,1,01:00:00,June,Thursday,Summer,0.53,0,74,52,2020
2020-06-18,2,02:00:00,June,Thursday,Summer,0.1,0,74,52,2020
2020-06-18,3,03:00:00,June,Thursday,Summer,0.42000000000000004,0,74,52,2020
2020-06-18,4,04:00:00,June,Thursday,Summer,0.09,0,74,52,2020
2020-06-18,5,05:00:00,June,Thursday,Summer,0.41000000000000003,0,74,52,2020
2020-06-18,6,06:00:00,June,Thursday,Summer,0.08,0,74,52,2020
2020-06-18,7,07:00:00,June,Thursday,Summer,0.1,0,74,52,2020
2020-06-18,8,08:00:00,June,Thursday,Summer,1.5,0,74,52,2020
2020-06-18,9,09:00:00,June,Thursday,Summer,0.42000000000000004,0,74,52,2020
2020-06-18,10,10:00:00,June,Thursday,Summer,0.68,0,74,52,2020
2020-06-18,11,11:00:00,June,Thursday,Summer,0.37,0,74,52,2020
2020-06-18,12,12:00:00,June,Thursday,Summer,0.97,0,74,52,2020
2020-06-18,13,13:00:00,June,Thursday,Summer,0.98,0,74,52,2020
2020-06-18,14,14:00:00,June,Thursday,Summer,0.51,0,74,52,2020
2020-06-18,15,15:00:00,June,Thursday,Summer,0.5700000000000001,0,74,52,2020
2020-06-18,16,16:00:00,June,Thursday,Summer,0.5700000000000001,0,74,52,2020
2020-06-18,17,17:00:00,June,Thursday,Summer,1.97,0,74,52,2020
2020-06-18,18,18:00:00,June,Thursday,Summer,1.3900000000000001,0,74,52,2020
2020-06-18,19,19:00:00,June,Thursday,Summer,0.5700000000000001,0,74,52,2020
2020-06-18,20,20:00:00,June,Thursday,Summer,0.38,0,74,52,2020
2020-06-18,21,21:00:00,June,Thursday,Summer,1.3800000000000001,0,74,52,2020
2020-06-18,22,22:00:00,June,Thursday,Summer,1.66,0,74,52,2020
2020-06-18,23,23:00:00,June,Thursday,Summer,0.7200000000000001,0,74,52,2020
2020-06-19,0,00:00:00,June,Friday,Summer,1.32,0,80,55,2020
2020-06-19,1,01:00:00,June,Friday,Summer,1.02,0,80,55,2020
2020-06-19,2,02:00:00,June,Friday,Summer,1.45,0,80,55,2020
2020-06-19,3,03:00:00,June,Friday,Summer,2.7199999999999998,0,80,55,2020
2020-06-19,4,04:00:00,June,Friday,Summer,0.63,0,80,55,2020
2020-06-19,5,05:00:00,June,Friday,Summer,0.51,0,80,55,2020
2020-06-19,6,06:00:00,June,Friday,Summer,0.43,0,80,55,2020
2020-06-19,7,07:00:00,June,Friday,Summer,0.08,0,80,55,2020
2020-06-19,8,08:00:00,June,Friday,Summer,0.42000000000000004,0,80,55,2020
2020-06-19,9,09:00:00,June,Friday,Summer,0.18,0,80,55,2020
2020-06-19,10,10:00:00,June,Friday,Summer,1.21,0,80,55,2020
2020-06-19,11,11:00:00,June,Friday,Summer,0.32,0,80,55,2020
2020-06-19,12,12:00:00,June,Friday,Summer,0.65,0,80,55,2020
2020-06-19,13,13:00:00,June,Friday,Summer,0.73,0,80,55,2020
2020-06-19,14,14:00:00,June,Friday,Summer,0.69,0,80,55,2020
2020-06-19,15,15:00:00,June,Friday,Summer,1,0,80,55,2020
2020-06-19,16,16:00:00,June,Friday,Summer,0.5,0,80,55,2020
2020-06-19,17,17:00:00,June,Friday,Summer,0.5,0,80,55,2020
2020-06-19,18,18:00:00,June,Friday,Summer,0.29,0,80,55,2020
2020-06-19,19,19:00:00,June,Friday,Summer,0.25,0,80,55,2020
2020-06-19,20,20:00:00,June,Friday,Summer,0.6900000000000001,0,80,55,2020
2020-06-19,21,21:00:00,June,Friday,Summer,0.54,0,80,55,2020
2020-06-19,22,22:00:00,June,Friday,Summer,2.58,0,80,55,2020
2020-06-19,23,23:00:00,June,Friday,Summer,2.3600000000000003,0,80,55,2020
2020-06-20,0,00:00:00,June,Saturday,Summer,3.65,0.09,74,61,2020
2020-06-20,1,01:00:00,June,Saturday,Summer,2.2,0.09,74,61,2020
2020-06-20,2,02:00:00,June,Saturday,Summer,1.83,0.09,74,61,2020
2020-06-20,3,03:00:00,June,Saturday,Summer,0.48,0.09,74,61,2020
2020-06-20,4,04:00:00,June,Saturday,Summer,0.08,0.09,74,61,2020
2020-06-20,5,05:00:00,June,Saturday,Summer,0.39,0.09,74,61,2020
