TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,1/14/2021,15:00,15:14,0.27,kWh,
Electric usage,1/14/2021,15:15,15:29,0.27,kWh,
Electric usage,1/14/2021,15:30,15:44,0.27,kWh,
Electric usage,1/14/2021,15:45,15:59,1.1,kWh,
Electric usage,1/14/2021,16:00,16:14,0.28,kWh,
Electric usage,1/14/2021,16:15,16:29,0.29,kWh,
Electric usage,1/14/2021,16:30,16:44,0.27,kWh,
Electric usage,1/14/2021,16:45,16:59,0.6,kWh,
Electric usage,1/14/2021,17:00,17:14,0.51,kWh,
Electric usage,1/14/2021,17:15,17:29,0.81,kWh,
Electric usage,1/14/2021,17:30,17:44,1.77,kWh,
Electric usage,1/14/2021,17:45,17:59,0.54,kWh,
Electric usage,1/14/2021,18:00,18:14,0.33,kWh,
Electric usage,1/14/2021,18:15,18:29,0.77,kWh,
Electric usage,1/14/2021,18:30,18:44,0.31,kWh,
Electric usage,1/14/2021,18:45,18:59,0.32,kWh,
Electric usage,1/14/2021,19:00,19:14,0.68,kWh,
Electric usage,1/14/2021,19:15,19:29,0.32,kWh,
Electric usage,1/14/2021,19:30,19:44,0.84,kWh,
Electric usage,1/14/2021,19:45,19:59,0.66,kWh,
Electric usage,1/14/2021,20:00,20:14,0.37,kWh,
Electric usage,1/14/2021,20:15,20:29,0.29,kWh,
Electric usage,1/14/2021,20:30,20:44,0.32,kWh,
Electric usage,1/14/2021,20:45,20:59,0.83,kWh,
Electric usage,1/14/2021,21:00,21:14,1.49,kWh,
Electric usage,1/14/2021,21:15,21:29,0.65,kWh,
Electric usage,1/14/2021,21:30,21:44,0.46,kWh,
Electric usage,1/14/2021,21:45,21:59,0.81,kWh,
Electric usage,1/14/2021,22:00,22:14,1.15,kWh,
Electric usage,1/14/2021,22:15,22:29,1.51,kWh,
Electric usage,1/14/2021,22:30,22:44,1.56,kWh,
Electric usage,1/14/2021,22:45,22:59,1.16,kWh,
Electric usage,1/14/2021,23:00,23:14,1.14,kWh,
Electric usage,1/14/2021,23:15,23:29,1.06,kWh,
Electric usage,1/14/2021,23:30,23:44,1.62,kWh,
Electric usage,1/14/2021,23:45,23:59,1.49,kWh,
Electric usage,1/15/2021,0:00,0:14,0.89,kWh,
Electric usage,1/15/2021,0:15,0:29,1.04,kWh,
Electric usage,1/15/2021,0:30,0:44,0.78,kWh,
Electric usage,1/15/2021,0:45,0:59,0.68,kWh,
Electric usage,1/15/2021,1:00,1:14,0.42,kWh,
Electric usage,1/15/2021,1:15,1:29,1.02,kWh,
Electric usage,1/15/2021,1:30,1:44,0.26,kWh,
Electric usage,1/15/2021,1:45,1:59,0.27,kWh,
Electric usage,1/15/2021,2:00,2:14,0.27,kWh,
Electric usage,1/15/2021,2:15,2:29,0.64,kWh,
Electric usage,1/15/2021,2:30,2:44,0.9,kWh,
Electric usage,1/15/2021,2:45,2:59,0.25,kWh,
Electric usage,1/15/2021,3:00,3:14,0.27,kWh,
Electric usage,1/15/2021,3:15,3:29,0.26,kWh,
Electric usage,1/15/2021,3:30,3:44,0.27,kWh,
Electric usage,1/15/2021,3:45,3:59,0.92,kWh,
Electric usage,1/15/2021,4:00,4:14,0.33,kWh,
Electric usage,1/15/2021,4:15,4:29,0.58,kWh,
Electric usage,1/15/2021,4:30,4:44,0.28,kWh,
Electric usage,1/15/2021,4:45,4:59,0.28,kWh,
Electric usage,1/15/2021,5:00,5:14,0.91,kWh,
Electric usage,1/15/2021,5:15,5:29,0.33,kWh,
Electric usage,1/15/2021,5:30,5:44,0.26,kWh,
Electric usage,1/15/2021,5:45,5:59,0.26,kWh,
